"","ID","CONDITION","SESSION","BLOCK","TOTAL_PHRASES","P_AGE","P_GENDER","P_HANDEDNESS","PHRASE_NUMBER","PT","TT","PT_LENGTH","TT_LENGTH","IS_LENGTH","WPM","CPS","ERROR_RATE","MINIMUM_STRING_DISTANCE","KEYSTROKES_PER_CHARACTER","CORRECTED_ERROR_RATE","TOTAL_ERROR_RATE","INPUT_TIME","VST","CCC","BACKSPACE_COUNT","CAC","CAR","T_CAT","CAT_R","LEVENSHTEIN_SUBSTITUTION","LEVENSHTEIN_INSERTION","LEVENSHTEIN_DELETION","﻿"
"101","asalrefa","1","1","2","20","36","MALE","RIGHT_H","9","the stock exchange dipped","the stock exchange dipped","25","25","25","57.05229793977813","4.754358161648177","0","0","1","0","0","5.048","198","0","0","0","0","0","0","0","0","0","﻿"
"111","asalrefa","1","1","2","20","36","MALE","RIGHT_H","10","her majesty visited our country","her majesty visited our country","31","31","33","61.454421304199386","5.121201775349949","0","0","1.064516129032258","3.125","3.125","5.858","370","0","1","1","3.0303030303030303","0.385","6.572208945032434","0","0","0","﻿"
"121","asalrefa","1","1","2","20","36","MALE","RIGHT_H","11","tell a lie and your nose will grow","tell a lie and your nose will grow","34","34","34","67.72703950743971","5.643919958953309","0","0","1","0","0","5.847","476","0","0","0","0","0","0","0","0","0","﻿"
"131","asalrefa","1","1","2","20","36","MALE","RIGHT_H","12","the fourth edition was better","the fourth edition was better","29","29","31","56.45161290322581","4.704301075268817","0","0","1.0689655172413792","3.3333333333333335","3.3333333333333335","5.952","422","0","1","1","3.225806451612903","0.391","6.569220430107527","0","0","0","﻿"
"141","asalrefa","1","1","2","20","36","MALE","RIGHT_H","13","burglars never leave their business card","burglars never leave their business card","40","40","44","45.49431321084864","3.79119276757072","0","0","1.1","4.761904761904762","4.761904761904762","10.287","220","0","2","2","4.545454545454546","0.614","5.968698357149801","0","0","0","﻿"
"151","asalrefa","1","1","2","20","36","MALE","RIGHT_H","14","what a monkey sees a monkey will do","what a monkey sees a monkey will do","35","35","41","54.8903538275259","4.574196152293825","0","0","1.1714285714285715","7.894736842105263","7.894736842105263","7.433","237","0","3","3","7.317073170731707","0.858","11.543118525494418","0","0","0","﻿"
"161","asalrefa","1","1","2","20","36","MALE","RIGHT_H","15","keep receipts for all your expenses","keep receipts for all your expenses","35","35","37","53.18039624608968","4.43169968717414","0","0","1.0571428571428572","2.7777777777777777","2.7777777777777777","7.672","324","0","1","1","2.7027027027027026","0.33","4.301355578727842","0","0","0","﻿"
"171","asalrefa","1","1","2","20","36","MALE","RIGHT_H","16","historic meeting without a result","historic meeting without a result","33","33","33","69.54002173125679","5.795001810938066","0","0","1","0","0","5.522","163","0","0","0","0","0","0","0","0","0","﻿"
"181","asalrefa","1","1","2","20","36","MALE","RIGHT_H","17","the dreamers of dreams","the dreamers of dreams","22","22","28","51.980198019801975","4.3316831683168315","0","0","1.2727272727272727","12","12","4.848","453","0","3","3","10.714285714285714","0.704","14.521452145214523","0","0","0","﻿"
"191","asalrefa","1","1","2","20","36","MALE","RIGHT_H","18","stiff penalty for staying out late","stiff penalty for staying out late","34","34","34","44.166852554093246","3.680571046174437","0","0","1","0","0","8.966","182","0","0","0","0","0","0","0","0","0","﻿"
"201","asalrefa","1","1","2","20","36","MALE","RIGHT_H","19","acutely aware of her good looks","acutely aware of her good looks","31","31","35","51.25284738041002","4.271070615034168","0","0","1.1290322580645162","6.0606060606060606","6.0606060606060606","7.024","189","0","2","2","5.714285714285714","0.813","11.574601366742597","0","0","0","﻿"
"23","asalrefa","1","1","3","20","36","MALE","RIGHT_H","1","be discreet about your meeting","be discreet about your meeting","30","30","32","56.66829506595017","4.722357922162514","0","0","1.0666666666666667","3.225806451612903","3.225806451612903","6.141","494","0","1","1","3.125","0.344","5.601693535254845","0","0","0","﻿"
"32","asalrefa","1","1","3","20","36","MALE","RIGHT_H","2","we have enough witnesses","we have enough witnesses","24","24","26","58.56142584341184","4.88011882028432","0","0","1.0833333333333333","4","4","4.713","564","0","1","1","3.8461538461538463","0.32","6.789730532569489","0","0","0","﻿"
"42","asalrefa","1","1","3","20","36","MALE","RIGHT_H","3","the food at this restaurant","the food at this restaurant","27","27","32","45.3554295682512","3.7796191306876","0","0","1.1851851851851851","6.896551724137931","6.896551724137931","6.879","261","0","2","2","6.25","1.05","15.263846489315307","0","0","0","﻿"
"52","asalrefa","1","1","3","20","36","MALE","RIGHT_H","4","effort is what it will take","effort is what it will take","27","27","27","72.22222222222221","6.018518518518518","0","0","1","0","0","4.32","151","0","0","0","0","0","0","0","0","0","﻿"
"62","asalrefa","1","1","3","20","36","MALE","RIGHT_H","5","arguing with the boss is futile","arguing with the boss is futile","31","31","33","50.847457627118644","4.237288135593221","0","0","1.064516129032258","3.125","3.125","7.08","347","0","1","1","3.0303030303030303","0.377","5.324858757062147","0","0","0","﻿"
"72","asalrefa","1","1","3","20","36","MALE","RIGHT_H","6","circumstances are unacceptable","circumstances are unacceptable","30","30","32","46.4247598719317","3.8687299893276412","0","0","1.0666666666666667","3.225806451612903","3.225806451612903","7.496","181","0","1","1","3.125","0.313","4.17556029882604","0","0","0","﻿"
"82","asalrefa","1","1","3","20","36","MALE","RIGHT_H","7","world population is growing","world population is growing","27","27","27","64.14473684210526","5.345394736842105","0","0","1","0","0","4.864","166","0","0","0","0","0","0","0","0","0","﻿"
"92","asalrefa","1","1","3","20","36","MALE","RIGHT_H","8","all together in one big pile","all together in one big pile","28","28","37","33.809871647709485","2.8174893039757904","0","0","1.3214285714285714","12.5","12.5","9.583","309","0","4","4","10.81081081081081","1.184","12.355212355212355","0","0","0","﻿"
"102","asalrefa","1","1","3","20","36","MALE","RIGHT_H","9","life is but a dream","life is but a dream","19","19","19","67.8391959798995","5.653266331658291","0","0","1","0","0","3.184","220","0","0","0","0","0","0","0","0","0","﻿"
"112","asalrefa","1","1","3","20","36","MALE","RIGHT_H","10","a psychiatrist will help you","a psychiatrist will help you","28","28","34","46.120996441281136","3.843416370106761","0","0","1.2142857142857142","9.67741935483871","9.67741935483871","7.025","316","0","3","3","8.823529411764707","0.743","10.576512455516013","0","0","0","﻿"
"122","asalrefa","1","1","3","20","36","MALE","RIGHT_H","11","public transit is much faster","public transit is much faster","29","29","29","71.42857142857143","5.9523809523809526","0","0","1","0","0","4.704","157","0","0","0","0","0","0","0","0","0","﻿"
"132","asalrefa","1","1","3","20","36","MALE","RIGHT_H","12","the back yard of our house","the back yard of our house","26","26","38","41.94044456871243","3.4950370473927026","0","0","1.4615384615384615","18.75","18.75","7.153","341","0","6","6","15.789473684210526","1.247","17.4332447923948","0","0","0","﻿"
"142","asalrefa","1","1","3","20","36","MALE","RIGHT_H","13","sent this by registered mail","sent this by registered mail","28","28","28","58.515441574860034","4.876286797905003","0","0","1","0","0","5.537","412","0","0","0","0","0","0","0","0","0","﻿"
"152","asalrefa","1","1","3","20","36","MALE","RIGHT_H","14","movie about a nutty professor","movie about a nutty professor","29","29","29","55.94405594405595","4.662004662004662","0","0","1","0","0","6.006","229","0","0","0","0","0","0","0","0","0","﻿"
"162","asalrefa","1","1","3","20","36","MALE","RIGHT_H","15","microscopes make small things look big","microscopes make small things look big","38","38","38","55.29953917050692","4.6082949308755765","0","0","1","0","0","8.029","192","0","0","0","0","0","0","0","0","0","﻿"
"172","asalrefa","1","1","3","20","36","MALE","RIGHT_H","16","for murder you get a long prison sentence","for murder you get a long prison sentence","41","41","41","60.483870967741936","5.040322580645161","0","0","1","0","0","7.936","204","0","0","0","0","0","0","0","0","0","﻿"
"182","asalrefa","1","1","3","20","36","MALE","RIGHT_H","17","your presentation was inspiring","your presentation was inspiring","31","31","33","55.65862708719851","4.638218923933209","0","0","1.064516129032258","3.125","3.125","6.468","315","0","1","1","3.0303030303030303","0.326","5.040197897340755","0","0","0","﻿"
"192","asalrefa","1","1","3","20","36","MALE","RIGHT_H","18","do not squander your time","do not squander your time","25","25","33","40.03892673432504","3.33657722786042","0","0","1.32","13.793103448275861","13.793103448275861","7.193","174","0","4","4","12.121212121212121","1.096","15.237036007229252","0","0","0","﻿"
"202","asalrefa","1","1","3","20","36","MALE","RIGHT_H","19","the postal service is very slow","the postal service is very slow","31","31","31","73.17073170731707","6.097560975609756","0","0","1","0","0","4.92","190","0","0","0","0","0","0","0","0","0","﻿"
"211","asalrefa","1","1","3","20","36","MALE","RIGHT_H","20","the first time he tried to swim","the first time he tried to swim","31","31","35","55.7016865232864","4.641807210273867","0","0","1.1290322580645162","6.0606060606060606","6.0606060606060606","6.463","213","0","2","2","5.714285714285714","0.415","6.421166640878849","0","0","0","﻿"
"24","rragarwal","1","1","1","20","24","MALE","RIGHT_H","1","an excellent way to communicate","an excellent way to communicate","31","31","49","17.392984829452118","1.4494154024543433","0","0","1.5806451612903225","22.5","22.5","20.698","4416","0","9","9","18.367346938775512","3.858","18.639482075562857","0","0","0","﻿"
"33","rragarwal","1","1","1","20","24","MALE","RIGHT_H","2","questioning the wisdom of the courts","questioning the wisdom of the courts","36","36","44","35.19061583577712","2.932551319648094","0","0","1.2222222222222223","10","10","11.935","893","0","4","4","9.090909090909092","1.512","12.668621700879765","0","0","0","﻿"
"43","rragarwal","1","1","1","20","24","MALE","RIGHT_H","3","what goes up must come down","what goes up must come down","27","27","31","39.5587675922404","3.296563966020033","0","0","1.1481481481481481","6.896551724137931","6.896551724137931","7.887","653","0","2","2","6.451612903225806","0.775","9.826296437175099","0","0","0","﻿"
"53","rragarwal","1","1","1","20","24","MALE","RIGHT_H","4","the postal service is very slow","the postal service is very slow","31","31","33","42.16938034438327","3.5141150286986056","0","0","1.064516129032258","3.125","3.125","8.537","268","0","1","1","3.0303030303030303","0.48","5.62258404591777","0","0","0","﻿"
"63","rragarwal","1","1","1","20","24","MALE","RIGHT_H","5","you are a capitalist pig","you are a capitalist pig","24","24","26","34.19650600916863","2.849708834097386","0","0","1.0833333333333333","4","4","8.071","126","0","1","1","3.8461538461538463","0.656","8.127865196382109","0","0","0","﻿"
"73","rragarwal","1","1","1","20","24","MALE","RIGHT_H","6","the world is a stage","the world is a stage","20","20","24","47.03940581803177","3.9199504848359807","0","0","1.2","9.090909090909092","9.090909090909092","4.847","158","0","2","2","8.333333333333332","0.608","12.54384155147514","0","0","0","﻿"
"83","rragarwal","1","1","1","20","24","MALE","RIGHT_H","7","my bank account is overdrawn","my bank account is overdrawn","28","28","64","14.39808025596587","1.1998400213304892","0","0","2.2857142857142856","15.151515151515152","15.151515151515152","22.503","629","10","5","15","23.4375","19.628","87.22392569879571","0","0","0","﻿"
"93","rragarwal","1","1","1","20","24","MALE","RIGHT_H","8","coalition governments never work","coalition governments never work","32","32","32","43.2608442842191","3.605070357018258","0","0","1","0","0","8.599","212","0","0","0","0","0","0","0","0","0","﻿"
"103","rragarwal","1","1","1","20","24","MALE","RIGHT_H","9","my bank account is overdrawn","my bank account is overdrawn","28","28","34","25.97819114817191","2.164849262347659","0","0","1.2142857142857142","9.67741935483871","9.67741935483871","12.472","557","0","3","3","8.823529411764707","2.418","19.387427838357922","0","0","0","﻿"
"113","rragarwal","1","1","1","20","24","MALE","RIGHT_H","10","every saturday he folds the laundry","every saturday he folds the laundry","35","35","53","32.2963666587509","2.691363888229241","0","0","1.5142857142857142","20.454545454545457","20.454545454545457","12.633","773","0","9","9","16.9811320754717","2.759","21.839626375366105","0","0","0","﻿"
"123","rragarwal","1","1","1","20","24","MALE","RIGHT_H","11","do you like to shop on sunday","do you like to shop on sunday","29","29","31","37.74008761091767","3.1450073009098056","0","0","1.0689655172413792","3.3333333333333335","3.3333333333333335","8.903","759","0","1","1","3.225806451612903","0.591","6.638211838706054","0","0","0","﻿"
"133","rragarwal","1","1","1","20","24","MALE","RIGHT_H","12","prevailing wind from the east","prevailing wind from the east","29","29","33","42.988741044012286","3.5823950870010237","0","0","1.1379310344827587","6.451612903225806","6.451612903225806","7.816","366","0","2","2","6.0606060606060606","0.442","5.655066530194473","0","0","0","﻿"
"143","rragarwal","1","1","1","20","24","MALE","RIGHT_H","13","my favorite web browser","my favorite web browser","23","23","37","22.471910112359552","1.8726591760299627","0","0","1.608695652173913","4.166666666666666","4.166666666666666","11.748","906","1","1","2","5.405405405405405","10.806","91.98161389172625","0","0","0","﻿"
"153","rragarwal","1","1","1","20","24","MALE","RIGHT_H","14","a lot of chlorine in the water","a lot of chlorine in the water","30","30","35","42.15116279069767","3.512596899224806","0","0","1.1666666666666667","6.25","6.25","8.256","246","0","2","2","5.714285714285714","1.543","18.689437984496124","0","0","0","﻿"
"163","rragarwal","1","1","1","20","24","MALE","RIGHT_H","15","electric cars need big fuel cells","electric cars need big fuel cells","33","33","35","36.06311044327573","3.005259203606311","0","0","1.0606060606060606","2.941176470588235","2.941176470588235","10.648","93","0","1","1","2.857142857142857","0.343","3.221262208865515","0","0","0","﻿"
"173","rragarwal","1","1","1","20","24","MALE","RIGHT_H","16","learn to walk before you run","learn to walk before you run","28","28","30","52.80312907431551","4.400260756192959","0","0","1.0714285714285714","3.4482758620689653","3.4482758620689653","6.136","429","0","1","1","3.3333333333333335","0.272","4.432855280312908","0","0","0","﻿"
"183","rragarwal","1","1","1","20","24","MALE","RIGHT_H","17","give me one spoonful of coffee","give me one spoonful of coffee","30","30","46","30.712205454064073","2.5593504545053394","0","0","1.5333333333333334","21.052631578947366","21.052631578947366","11.331","156","0","8","8","17.391304347826086","2.19","19.327508604712733","0","0","0","﻿"
"193","rragarwal","1","1","1","20","24","MALE","RIGHT_H","18","it is difficult to concentrate","it is difficult to concentrate ","30","31","76","9.792610518614403","0.8160508765512002","3.3333333333333335","3.3333333333333335","2.533333333333333","3.225806451612903","6.451612903225806","35.537","101","0","1","1","1.3157894736842104","0.382","1.0749359822157187","0","0","1","﻿"
"203","rragarwal","1","1","1","20","24","MALE","RIGHT_H","19","file all complaints in writing","file all complaints in writing","30","30","30","55.63549160671462","4.636290967226219","0","0","1","0","0","6.255","404","0","0","0","0","0","0","0","0","0","﻿"
"212","rragarwal","1","1","1","20","24","MALE","RIGHT_H","20","space is a high priority","space is a high priority","24","24","28","46.558704453441294","3.8798920377867745","0","0","1.1666666666666667","7.6923076923076925","7.6923076923076925","5.928","134","0","2","2","7.142857142857142","0.664","11.201079622132253","0","0","0","﻿"
"25","rragarwal","1","1","2","20","24","MALE","RIGHT_H","1","teaching services will help","teaching services will help","27","27","27","49.273531269741","4.10612760581175","0","0","1","0","0","6.332","205","0","0","0","0","0","0","0","0","0","﻿"
"34","rragarwal","1","1","2","20","24","MALE","RIGHT_H","2","but the levee was dry","but the levee was dry","21","21","33","28.096464528213534","2.3413720440177945","0","0","1.5714285714285714","22.22222222222222","22.22222222222222","8.542","109","0","6","6","18.181818181818183","1.528","17.88808241629595","0","0","0","﻿"
"44","rragarwal","1","1","2","20","24","MALE","RIGHT_H","3","shall we play a round of cards","shall we play a round of cards","30","30","54","26.413662239089184","2.2011385199240987","0","0","1.8","9.090909090909092","9.090909090909092","13.175","245","2","3","5","9.25925925925926","13.37","101.48007590132828","0","0","0","﻿"
"54","rragarwal","1","1","2","20","24","MALE","RIGHT_H","4","mary had a little lamb","mary had a little lamb","22","22","26","35.05843071786311","2.921535893155259","0","0","1.1818181818181819","8.333333333333332","8.333333333333332","7.188","367","0","2","2","7.6923076923076925","0.893","12.423483583750695","0","0","0","﻿"
"64","rragarwal","1","1","2","20","24","MALE","RIGHT_H","5","are you sure you want this","are you sure you want this","26","26","28","40.19831167090982","3.3498593059091517","0","0","1.0769230769230769","3.7037037037037033","3.7037037037037033","7.463","718","0","1","1","3.571428571428571","0.673","9.017821251507437","0","0","0","﻿"
"74","rragarwal","1","1","2","20","24","MALE","RIGHT_H","6","construction makes traveling difficult","construction makes traveling difficult","38","38","48","30.652399033482915","2.5543665861235763","0","0","1.263157894736842","7.317073170731707","7.317073170731707","14.485","380","1","3","4","8.333333333333332","10.927","75.4366586123576","0","0","0","﻿"
"84","rragarwal","1","1","2","20","24","MALE","RIGHT_H","7","the cotton is high","the cotton is high","18","18","18","51","4.25","0","0","1","0","0","4","133","0","0","0","0","0","0","0","0","0","﻿"
"94","rragarwal","1","1","2","20","24","MALE","RIGHT_H","8","vote according to your conscience","vote according to your conscience ","33","34","41","36.06988540296825","3.0058237835806874","3.0303030303030303","3.0303030303030303","1.2424242424242424","10.81081081081081","13.513513513513514","10.646","221","0","4","4","9.75609756097561","1.463","13.742250610557956","0","0","1","﻿"
"104","rragarwal","1","1","2","20","24","MALE","RIGHT_H","9","toss the ball around","toss the ball around","20","20","26","43.11649016641452","3.5930408472012103","0","0","1.3","13.043478260869565","13.043478260869565","5.288","141","0","3","3","11.538461538461538","0.929","17.56807866868381","0","0","0","﻿"
"114","rragarwal","1","1","2","20","24","MALE","RIGHT_H","10","call for more details","call for more details","21","21","21","65.64551422319475","5.470459518599562","0","0","1","0","0","3.656","590","0","0","0","0","0","0","0","0","0","﻿"
"124","rragarwal","1","1","2","20","24","MALE","RIGHT_H","11","fall is my favorite season","fall is my favorite season","26","26","28","42.492917847025495","3.5410764872521248","0","0","1.0769230769230769","3.7037037037037033","3.7037037037037033","7.06","100","0","1","1","3.571428571428571","0.305","4.320113314447592","0","0","0","﻿"
"134","rragarwal","1","1","2","20","24","MALE","RIGHT_H","12","six daughters and seven sons","six daughters and seven sons","28","28","30","47.127272727272725","3.9272727272727272","0","0","1.0714285714285714","3.4482758620689653","3.4482758620689653","6.875","172","0","1","1","3.3333333333333335","0.479","6.967272727272728","0","0","0","﻿"
"144","rragarwal","1","1","2","20","24","MALE","RIGHT_H","13","interesting observation was made","interesting observation was made","32","32","46","34.37124641966183","2.864270534971819","0","0","1.4375","17.94871794871795","17.94871794871795","10.823","182","0","7","7","15.217391304347828","1.738","16.05839416058394","0","0","0","﻿"
"154","rragarwal","1","1","2","20","24","MALE","RIGHT_H","14","a quarter of a century","a quarter of a century","22","22","22","35.35353535353535","2.946127946127946","0","0","1","0","0","7.128","84","0","0","0","0","0","0","0","0","0","﻿"
"164","rragarwal","1","1","2","20","24","MALE","RIGHT_H","15","that is a very odd question","that is a very odd question","27","27","31","39.25022015347842","3.2708516794565354","0","0","1.1481481481481481","6.896551724137931","6.896551724137931","7.949","88","0","2","2","6.451612903225806","1.185","14.907535539061517","0","0","0","﻿"
"174","rragarwal","1","1","2","20","24","MALE","RIGHT_H","16","the aspirations of a nation","the aspirations of a nation","27","27","35","42.52998909487459","3.5441657579062156","0","0","1.2962962962962963","12.903225806451612","12.903225806451612","7.336","494","0","4","4","11.428571428571429","1.319","17.979825517993454","0","0","0","﻿"
"184","rragarwal","1","1","2","20","24","MALE","RIGHT_H","17","the chamber makes important decisions","the chamber makes important decisions","37","37","43","41.13502190059036","3.4279184917158636","0","0","1.162162162162162","7.5","7.5","10.502","215","0","3","3","6.976744186046512","1.28","12.188154637211959","0","0","0","﻿"
"194","rragarwal","1","1","2","20","24","MALE","RIGHT_H","18","fine but only in moderation","fine but only in moderation","27","27","27","63.921327596803934","5.326777299733661","0","0","1","0","0","4.881","189","0","0","0","0","0","0","0","0","0","﻿"
"204","rragarwal","1","1","2","20","24","MALE","RIGHT_H","19","lie detector tests never work","lie detector tests never work","29","29","33","43.512043512043505","3.6260036260036257","0","0","1.1379310344827587","6.451612903225806","6.451612903225806","7.722","195","0","2","2","6.0606060606060606","0.651","8.43045843045843","0","0","0","﻿"
"213","rragarwal","1","1","2","20","24","MALE","RIGHT_H","20","the largest of the five oceans","the largest of the five oceans","30","30","30","47.167253998373546","3.930604499864462","0","0","1","0","0","7.378","132","0","0","0","0","0","0","0","0","0","﻿"
"26","rragarwal","1","1","3","20","24","MALE","RIGHT_H","1","do not drink the water","do not drink the water","22","22","34","30.664395229982965","2.5553662691652472","0","0","1.5454545454545454","21.428571428571427","21.428571428571427","8.218","206","0","6","6","17.647058823529413","1.01","12.290094913604284","0","0","0","﻿"
